team,player,role,minutes_on_camera,distance_m,m_per_min,top_speed_ms,high_speed_s,sprints,mean_x_m,mean_y_m,touches_est
away,A01,DEEP,0.29,43.5,150.9,6.86,4.5,0,97.8,37.6,0
away,A02,DEEP,0.29,40.4,137.9,6.28,4.8,0,97.5,28.9,0
away,A03,DEEP,0.23,44.6,193.4,6.66,3.0,0,87.9,7.1,0
away,A04,DEEP,0.12,15.7,129.7,3.36,0.0,0,86.9,38.9,0
away,A05,MID,0.11,37.6,329.6,6.51,3.8,0,86.6,24.0,0
away,A06,MID,0.36,61.7,170.1,6.33,2.7,0,82.6,42.1,0
away,A07,MID,0.54,87.1,162.1,6.69,5.1,0,72.8,13.3,0
away,A08,MID,0.18,64.0,355.6,8.09,6.8,1,72.4,19.1,0
away,A09,HIGH,0.22,45.2,201.2,4.13,0.0,0,40.4,35.3,0
away,A10,HIGH,0.22,44.6,200.7,4.18,0.0,0,39.5,23.5,0
away,A11,HIGH,0.18,11.1,59.9,6.32,0.8,0,21.3,70.7,0
home,H01,DEEP,0.18,19.8,107.0,2.68,0.0,0,23.9,38.1,0
home,H02,DEEP,0.15,16.3,110.1,3.48,0.0,0,26.7,20.1,0
home,H03,DEEP,0.17,15.2,90.3,2.45,0.0,0,36.0,8.5,0
home,H04,DEEP,0.13,14.6,115.8,3.68,0.0,0,36.8,60.6,0
home,H05,MID,0.22,32.2,145.2,3.62,0.0,0,44.2,26.8,0
home,H06,MID,0.34,63.2,185.1,4.55,0.0,0,46.6,38.4,0
home,H07,MID,0.17,34.5,202.3,4.5,0.0,0,75.0,9.1,0
home,H08,MID,0.12,46.4,386.7,8.46,4.7,1,82.2,34.7,0
home,H09,HIGH,0.08,29.9,373.4,7.21,4.4,1,82.9,18.4,0
home,H10,HIGH,0.2,50.3,254.0,6.57,2.9,0,83.9,21.0,0
home,H11,HIGH,0.14,43.7,323.1,9.59,5.2,1,96.9,34.3,0
