frame,t_s,team,player,dist_m,x_m,y_m
11,0.44,home,,1.06,52.61333563187733,34.633681294361885
12,0.48,home,,1.78,52.68118538449364,34.59187470096925
13,0.52,home,,2.53,52.74922543819486,34.550020777064205
28,1.12,home,H05,2.68,40.78570734694584,27.088825130747136
29,1.16,home,H05,2.25,40.84339082337594,27.148771506958774
30,1.2,home,H05,1.79,40.90078218351905,27.208904066604955
31,1.24,home,H05,1.43,40.95787529109441,27.269236424349046
64,2.56,home,H05,1.02,42.71323994895083,29.384361877932413
114,4.56,home,H06,0.31,28.933114431217685,42.10936510627845
115,4.6,home,H06,0.13,28.888909382521632,42.05316457822923
161,6.44,home,H02,2.94,22.192690119185233,22.207466179810304
162,6.48,home,H02,2.26,22.266110179954634,22.14862909484751
163,6.52,home,H02,2.22,22.341394988773665,22.088569948526686
164,6.56,home,H02,1.96,22.418538764303392,22.027309997203325
165,6.6,home,H02,1.48,22.4975331012335,21.964872098081933
166,6.64,home,H02,1.41,22.578366692516003,21.90128084515879
168,6.72,home,H02,0.77,22.745490378038546,21.77074524023161
169,6.76,home,H02,1.24,22.831741979099462,21.703857881931118
170,6.8,home,H02,1.08,22.919755802870217,21.635931159745798
171,6.84,home,H02,1.15,23.00950425388741,21.566997893684032
172,6.88,home,H02,0.85,23.10095645598988,21.49709277840301
173,6.92,home,H02,0.88,23.194078643764104,21.426251799027582
174,6.96,home,H02,1.27,23.2888342847047,21.354511974185783
175,7.0,home,H02,1.22,23.38518392980076,21.281911732198033
176,7.04,home,H02,0.6,23.48308495507508,21.208491774331094
177,7.08,home,H02,1.16,23.582491402845534,21.13429551496702
178,7.12,home,H02,1.26,23.68335402201555,21.05936918733334
179,7.16,home,H02,0.87,23.785620483495414,20.983762111546792
180,7.2,home,H02,1.1,23.88923571060295,20.90752660977175
181,7.24,home,H02,1.04,23.994142081437204,20.830717740494787
182,7.28,home,H02,0.99,24.100279388926253,20.753393413207732
183,7.32,home,H02,0.53,24.20758479361806,20.675614506228555
184,7.36,home,H02,0.44,24.315992946761913,20.59744463924664
188,7.52,home,H02,0.49,24.759276928806237,20.28219499871965
189,7.56,home,H02,0.71,24.872154122701527,20.20308762326142
223,8.92,home,H03,2.36,35.078772339648886,7.791976284447081
225,9.0,home,H03,2.18,35.235094628058924,7.822226114754807
226,9.04,home,H03,2.68,35.314578726374855,7.838046900567732
227,9.08,home,H03,1.78,35.39492174977602,7.854273795241457
228,9.12,home,H03,1.57,35.47610612548377,7.8708634356531375
229,9.16,home,H03,1.62,35.558114003100826,7.887772452715859
230,9.2,home,H03,1.06,35.640927122116274,7.904957592016092
231,9.24,home,H03,1.03,35.724526704394016,7.922376072548486
232,9.28,home,H03,2.5,35.80889351058893,7.939985637032842
234,9.36,home,H03,0.29,35.979848780332915,7.9756183180533675
236,9.44,home,H03,0.49,36.15362465898315,8.011567858836097
237,9.48,home,H03,0.92,36.24151579523519,8.029579079110508
238,9.52,home,H03,0.6,36.33004646571051,8.047571487343808
239,9.56,home,H03,0.5,36.41919444331629,8.065513358003315
240,9.6,home,H03,0.87,36.50893745945949,8.083372814042388
241,9.64,home,H03,1.79,36.59925337689742,8.101117527571569
242,9.68,home,H03,2.16,36.69011996175362,8.11871582189178
243,9.72,home,H03,0.63,36.781514608552854,8.136138258114372
244,9.76,home,H03,0.89,36.873414509259604,8.153357588385095
245,9.8,home,H03,1.3,36.96579705822176,8.170346824137082
247,9.88,home,H03,1.44,37.15192134780971,8.203526095915809
248,9.92,home,H03,0.82,37.24561888935791,8.21966678697799
